Year,Name,Height,Weight,Age,Team,DefaultPosition,OriginalPosition,PositionNumber,Experience,Potential,KnownPotential,Greed,Happiness,Loyalty,Winner,InsideScoring,JumpShot,ThreePointShot,Scoring,OutsideScoring,Handling,Passing,Quickness,PostDefense,PerimeterDefense,DriveDefense,Stealing,ShotBlocking,OffenseRebound,DefenseRebound,Strength,Stamina,Jumping,RatingInsideScoring,RatingOutsideScoring,RatingHandling,RatingDefense,RatingRebounding,DisplayHeight,CurrentRating,FutureRating,Minutes,Winshares,WS48
2012,Kareem Abdul-Jabbar,86,245,25,Lakers,C,1,1,3,49,52,57,19,60,36,98,83,5,31,0,72,38,91,90,14,42,27,77,70,73,100,0,72,91,44,52,84,77,7'2'',74,78,1525,10.91064687,0.343417082
2012,Giannis Antetokounmpo,84,230,26,Hornets,SF,3,3,7,47,64,30,83,95,15,100,96,60,88,0,89,67,33,54,71,50,76,60,56,91,64,0,33,73,78,68,84,72,7'0'',70,71,2661,17.17044359,0.309726153
2012,Yao Ming,90,300,28,Hornets,C,1,1,6,42,46,25,59,74,98,98,87,5,41,0,75,12,54,82,31,5,10,75,68,64,93,0,17,73,46,22,73,69,7'6'',69,69,2922,18.03429466,0.296251247
2012,Trendon Watford,82,220,29,Globetrotters,SF,3,3,12,48,48,23,11,34,72,100,97,42,29,0,83,26,55,40,22,20,78,30,49,77,100,0,20,76,70,35,54,70,6'10'',61,61,2761,16.2508466,0.282521056
2012,Qyntel Woods,81,245,26,Lakers,SF,3,3,6,45,43,45,28,20,92,100,96,32,35,0,94,36,76,33,82,38,59,65,32,80,66,0,55,80,64,49,78,61,6'9'',69,69,2942,17.06626635,0.278443503
2012,Sam Perkins,81,240,33,Bullets,PF,2,2,10,27,40,87,33,70,2,87,100,60,57,0,75,10,53,43,18,66,35,22,64,96,61,0,78,79,80,20,48,77,6'9'',61,60,2195,12.19954707,0.26677825
2010,Yante Maten*,80,240,33,Hawks,PF,2,2,11,36,30,98,78,30,62,99,91,45,11,0,70,32,21,61,40,96,72,70,97,81,89,0,33,77,68,32,79,85,6'8'',68,67,2375,12.77,0.258088421
2012,Simisola Shittu,82,240,30,Bulls,C,1,1,12,44,40,18,51,8,61,91,88,5,75,0,70,14,62,34,10,57,81,65,91,87,82,0,65,81,46,24,65,86,6'10'',65,64,2473,13.25420646,0.257259163
2010,Yao Ming,90,300,26,Hornets,C,1,1,4,41,40,25,59,74,98,100,85,5,41,0,75,20,51,81,36,13,11,77,65,61,93,0,17,74,45,28,76,67,7'6'',69,68,2225,11.78851633,0.25431406
2009,Yante Maten*,80,240,32,Hawks,PF,2,2,10,40,53,98,78,30,62,100,96,46,11,0,71,34,23,62,43,97,73,75,96,79,93,0,34,79,71,34,83,84,6'8'',69,69,2546,12.98,0.244713276
2011,Yante Maten,80,240,34,Hawks,PF,2,2,12,29,30,98,78,30,62,100,93,45,11,0,67,34,19,60,40,97,69,72,93,76,89,0,33,78,69,33,79,81,6'8'',67,63,2929,14.9292203,0.244657758
2008,Sam Perkins,81,240,29,Clippers,PF,2,2,6,53,60,87,33,70,2,96,100,58,57,0,77,17,63,50,25,67,42,24,51,100,67,0,80,85,79,28,57,76,6'9'',67,67,2688,13.6982823,0.244612184
2008,Firsto Picko,82,245,31,Knicks,C,1,1,11,41,46,92,27,80,90,100,82,32,35,0,70,39,97,33,70,59,87,68,59,56,95,0,68,89,57,54,73,65,6'10'',67,67,2583,13.06499883,0.242787435
