Year,Name,Height,Weight,Age,Team,DefaultPosition,OriginalPosition,PositionNumber,Experience,Potential,KnownPotential,Greed,Happiness,Loyalty,Winner,InsideScoring,JumpShot,ThreePointShot,Scoring,OutsideScoring,Handling,Passing,Quickness,PostDefense,PerimeterDefense,DriveDefense,Stealing,ShotBlocking,OffenseRebound,DefenseRebound,Strength,Stamina,Jumping,RatingInsideScoring,RatingOutsideScoring,RatingHandling,RatingDefense,RatingRebounding,DisplayHeight,CurrentRating,FutureRating,Minutes,Winshares
2012,Yao Ming,90,300,28,Hornets,C,1,1,6,42,46,25,59,74,98,98,87,5,41,0,75,12,54,82,31,5,10,75,68,64,93,0,17,73,46,22,73,69,7'6'',69,69,2922,18.03429466
2012,AJ Guyton,73,180,30,Trailblazers,PG,5,5,8,50,56,59,87,55,90,90,98,56,86,0,94,74,60,18,87,15,67,8,33,45,54,0,52,71,77,80,60,43,6'1'',68,68,3051,17.47316322
2012,Giannis Antetokounmpo,84,230,26,Hornets,SF,3,3,7,47,64,30,83,95,15,100,96,60,88,0,89,67,33,54,71,50,76,60,56,91,64,0,33,73,78,68,84,72,7'0'',70,71,2661,17.17044359
2012,Qyntel Woods,81,245,26,Lakers,SF,3,3,6,45,43,45,28,20,92,100,96,32,35,0,94,36,76,33,82,38,59,65,32,80,66,0,55,80,64,49,78,61,6'9'',69,69,2942,17.06626635
2012,Trendon Watford,82,220,29,Globetrotters,SF,3,3,12,48,48,23,11,34,72,100,97,42,29,0,83,26,55,40,22,20,78,30,49,77,100,0,20,76,70,35,54,70,6'10'',61,61,2761,16.2508466
2012,Al Harrington,83,250,27,Mavericks,PF,2,2,9,46,40,72,46,41,79,99,93,28,42,0,74,27,51,65,32,72,64,39,73,62,63,0,60,80,60,34,73,65,6'11'',66,65,2840,15.36664888
2010,Brain Winter,71,190,35,Rockets,PG,5,5,13,36,48,19,61,8,67,66,100,98,30,0,100,71,80,21,63,50,93,5,30,44,34,0,29,49,99,82,74,39,5'11'',74,70,3168,15.32
2009,Jay Williams,74,200,24,Bucks,PG,5,5,3,48,58,55,33,66,22,90,81,100,28,0,95,62,62,31,76,45,80,17,30,50,77,0,31,70,90,70,78,48,6'2'',71,75,3187,15.14
2012,Amare Stoudemire,83,270,26,Trailblazers,PF,2,2,6,47,40,25,90,83,45,100,100,50,27,0,58,6,89,85,26,26,25,37,51,98,75,0,37,76,75,23,63,78,6'11'',67,66,2514,14.97561955
2011,Yante Maten,80,240,34,Hawks,PF,2,2,12,29,30,98,78,30,62,100,93,45,11,0,67,34,19,60,40,97,69,72,93,76,89,0,33,78,69,33,79,81,6'8'',67,63,2929,14.9292203
2011,Luke Maye,79,227,33,Clippers,SF,3,3,11,42,36,90,74,5,52,92,98,88,87,0,92,74,41,65,61,53,26,45,25,62,74,0,22,67,93,76,72,50,6'7'',66,65,2962,14.92623317
2010,Amare Stoudemire,83,265,24,Timberwolves,PF,2,2,4,47,34,25,90,83,45,100,95,51,27,0,50,14,87,84,20,27,27,43,51,99,79,0,39,78,73,28,64,79,6'11'',67,69,2962,14.87
2008,Yao Ming,90,300,24,Hornets,C,1,1,2,46,52,25,59,74,98,100,85,5,41,0,75,17,50,87,40,6,5,87,64,61,100,0,15,75,45,25,78,67,7'6'',70,74,2942,14.47
2009,Amare Stoudemire,83,260,23,Timberwolves,PF,2,2,3,49,48,25,90,83,45,100,100,52,27,0,52,16,84,87,20,29,24,46,46,98,75,0,40,77,76,30,65,76,6'11'',67,70,2833,14.12
2009,Sam Perkins,81,240,30,Clippers,PF,2,2,7,46,56,87,33,70,2,91,99,58,57,0,77,22,59,53,24,68,45,25,56,100,68,0,82,84,78,32,59,78,6'9'',67,67,2868,14.12
