,0,0,0
0,Amare Stoudemire,0.285930684,0.19749638
1,AJ Guyton,0.27489735600000004,0.19914529
2,Al Harrington,0.25971800899999997,0.18735787
3,Amare Stoudemire,0.24097231600000002,0.13556096
4,Amare Stoudemire,0.239237557,0.1837692
5,Brain Winter,0.232121212,0.1590738
6,Cameron Reddish,0.228207441,0.15707108
7,Champ Godbolt,0.22702288199999998,0.18129346
8,Amare Stoudemire,0.220472015,0.17702863
9,Brain Winter,0.21570710699999998,0.20400903
10,Champ Godbolt,0.215362527,0.21537969
11,Champ Godbolt,0.21533955600000002,0.15902707
12,Amare Stoudemire,0.211277353,0.20713612
13,Cameron Reddish,0.211063208,0.18948075
14,Caron Butler,0.20765752699999998,0.13062283
15,Champ Godbolt,0.20462296300000002,0.18061826
16,Athansios Cathasach,0.203262605,0.23198983
17,Collin Sexton,0.20162601600000002,0.24085519
18,Al Harrington,0.19927646100000002,0.16045281
19,Andre Turner,0.19498387399999997,0.15243909
20,Al Harrington,0.19235294100000003,0.12966439
21,Brain Winter,0.19225988,0.15476319
22,Bison Dele,0.191116793,0.1252813
23,Collin Sexton,0.19037594,0.21833035
24,AJ Guyton,0.189652422,0.12212941
25,Andre Turner,0.181217635,0.14634988
26,AJ Guyton,0.180826953,0.17745873
27,Athansios Cathasach,0.18063768100000002,0.23502633
28,Al Harrington,0.180207322,0.18538472
29,Cameron Reddish,0.179214134,0.24271485
30,Champ Godbolt,0.178754833,0.18086621
31,Cameron Reddish,0.178682468,0.23625466
32,Brain Winter,0.170513465,0.14724442
33,Courtney Alexander,0.17016877,0.16119477
34,Anfernee Simons,0.168483585,0.07925984
35,Alex Reese,0.167298967,0.16069695
36,Cody Zeller,0.164501279,0.14376542
37,Alexis Antetokounmpo,0.16447039800000002,0.1579971
38,Athansios Cathasach,0.164065406,0.23209378
39,Collin Sexton,0.162605745,0.21049973
40,Andre Turner,0.162106561,0.110165566
41,Collin Sexton,0.162093346,0.15081593
42,Arvydas Sabonis,0.161076856,0.1549587
43,Alex Reese,0.160771445,0.1253719
44,Cameron Parker,0.159609375,0.085118264
45,Athansios Cathasach,0.158361993,0.21410558
46,Clarence Withers,0.157028359,0.11474511
47,AJ Guyton,0.154798206,0.14319703
48,Chris Webber,0.154138478,0.07176778
49,Al Harrington,0.153502538,0.17911145
50,Anfernee Simons,0.150228685,0.080739945
51,Cuttino Mobley,0.14943094199999998,0.13296029
52,Cameron Reddish,0.147537994,0.1867809
53,Brandon Griner,0.147173554,0.18337724
54,Anfernee Simons,0.145794393,0.111177415
55,Bison Dele,0.145608717,0.10904214
56,Bol Bol,0.145065034,0.14237592
57,Andre Turner,0.14270680800000002,0.18811128
58,Caron Butler,0.14144806,0.18385312
59,Caron Butler,0.141137881,0.15906903
60,Bison Dele,0.140210986,0.099292725
61,AJ Guyton,0.140117606,0.13700482
62,Brandon Griner,0.140085766,0.123277634
63,Cracker McCallahan,0.139976717,0.10803601
64,Alvin Jones,0.139947869,0.0756807
65,Courtney Alexander,0.139816592,0.13568589
66,Antawn Jamison*,0.137529175,0.16478536
67,Bol Bol,0.136163061,0.09615418
68,Brandon Griner,0.136087247,0.082042664
69,Caron Butler,0.135874608,0.14682004
70,Cody Zeller,0.133572313,0.09545609
71,Antawn Jamison*,0.133527032,0.12296292
72,Bobby Hurley,0.132278537,0.010969136
73,Bol Bol,0.13121424,0.119493455
74,Andre Turner,0.129171484,0.16537282
75,Alexis Antetokounmpo,0.128713023,0.19483373
